,0,0,0,0,0,0,Netflix,Hulu,Prime Video,Disney+,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western,IMDb_rate
0,0.3160621761658031,0.9616104868913857,0.5675675675675675,0.8686868686868687,0.2,0.9152542372881385,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.8
1,0.09015544041450776,0.8192883895131087,0.5212355212355213,0.8686868686868687,0.6000000000000001,0.8220338983050866,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7
2,0.09015544041450776,0.8192883895131087,0.5714285714285714,0.8383838383838385,0.2,0.9830508474576298,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5
3,0.09015544041450776,0.8192883895131087,0.444015444015444,0.9696969696969697,0.8,0.703389830508474,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5
4,0.7108808290155441,0.45224719101123595,0.6177606177606177,0.9797979797979799,0.6000000000000001,0.5423728813559343,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.8
5,0.44870466321243524,0.8192883895131087,0.44787644787644787,0.9797979797979799,0.8,0.9830508474576298,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4
6,0.25077720207253884,0.7359550561797753,0.5752895752895754,0.9595959595959597,0.6000000000000001,0.8474576271186436,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.5
7,0.23212435233160622,0.8192883895131087,0.6332046332046333,0.8686868686868687,0.6000000000000001,0.9322033898305087,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.4
8,0.2393782383419689,0.8192883895131087,0.44015444015444016,0.9595959595959597,0.8,0.6694915254237301,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4
9,0.23212435233160622,0.33707865168539325,0.5868725868725869,0.888888888888889,0.6000000000000001,0.9067796610169516,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.3
